text,urgency,request_type
Помогите пожалуйста. У меня низкий гемоглобин — что есть чтобы поднять?,Консультационное,Консультация или вопрос
Здравствуйте! Можно ли смешивать разные мультивитамины?,Консультационное,Консультация или вопрос
Хочу поговорить с врачом о снижении дозы антидепрессантов. Я беременна 28 недель.,Консультационное,Запись на прием
Аутоиммунный тиреоидит — контроль ТТГ и осмотр эндокринолога. Мне 52 года.,Плановое,Наблюдение
Ребёнок заикается после испуга — нужен логопед или невролог?,Срочное,Запись на прием
"Муж потерял сознание, дышит с трудом, губы посинели. Вызываю скорую или к вам?",Экстренное,Перенаправление в экстренные службы
Контрольное УЗИ щитовидки через 6 месяцев после лечения. Нужна ваша помощь.,Плановое,Наблюдение
"Резкая боль в спине прихватило, не могу разогнуться. Я беременна 28 недель. Очень беспокоюсь.",Срочное,Вызов врача
"Добрый вечер. Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу. Мужу 68 лет.",Срочное,Запись на прием
Помогите! Нужна консультация психолога по вопросам тревожности. Хронических болезней нет.,Консультационное,Запись на прием
"Здравствуйте! Резаная рана на руке, кровь не останавливается уже 20 минут, пульсирует. Я беременна 28 недель.",Экстренное,Перенаправление в экстренные службы
"Боль в суставе колена острая после тренировки, опухло. Это опасно?",Срочное,Вызов врача
Запишите на консультацию по вопросам контрацепции к гинекологу. Как быть?,Консультационное,Запись на прием
Срочно! Обострение псориаза — хочу к дерматологу как можно скорее. Ребёнку 4 года.,Срочное,Запись на прием
"Мужу плохо после укуса пчелы — сыпь по всему телу, стонет.",Экстренное,Вызов врача
"Срочно! Ребёнок захлебнулся водой в бассейне, откачали но он вялый и дышит плохо.",Экстренное,Перенаправление в экстренные службы
Добрый день! Нужен осмотр проктолога плановый — когда есть запись?,Плановое,Запись на прием
Можно ли смешивать разные мультивитамины? Нужна ваша помощь.,Консультационное,Консультация или вопрос
Справка для водительских прав — к какому врачу? Нужна ваша помощь.,Плановое,Запись на прием
Мне прислали результаты МРТ — хочу разобраться что значит. Нужна ваша помощь.,Консультационное,Запись на прием
Резкая потеря веса без причины — хочу записаться на обследование. Подскажите пожалуйста.,Срочное,Запись на прием
Добрый день! Нашли повышенный сахар в аптеке — хочу к эндокринологу срочно.,Срочное,Запись на прием
Плановое удаление родинки — запись к дерматологу. Прошу помочь.,Плановое,Запись на прием
Боль при жевании и щелчки в челюсти — к стоматологу или ортодонту? Мне 52 года.,Срочное,Запись на прием
Здравствуйте! Ребёнок аллергик — плановая консультация аллерголога весной.,Плановое,Наблюдение
Срочно! Ребёнок на учёте у невролога — плановый осмотр раз в год. Что посоветуете?,Плановое,Наблюдение
Помогите пожалуйста. Сильные головные боли каждый день последнюю неделю — к неврологу. Мужу 68 лет.,Срочное,Запись на прием
Консультация нефролога по результатам анализа мочи.,Консультационное,Запись на прием
Привет! Внезапная потеря сознания в магазине без видимых причин.,Экстренное,Перенаправление в экстренные службы
Частые носовые кровотечения у ребёнка — к ЛОР или гематологу?,Срочное,Запись на прием
Помогите пожалуйста. Как избежать растяжек при беременности?,Консультационное,Консультация или вопрос
"Психотический эпизод у соседа, ведёт себя агрессивно, нужна помощь. Подскажите пожалуйста.",Экстренное,Вызов врача
Нужна консультация педиатра — ребёнок развивается нормально? Что делать?,Консультационное,Запись на прием
Псориаз — плановый визит к дерматологу для оценки ремиссии.,Плановое,Наблюдение
"Сыпь по телу ребёнка внезапная, зудит, температура нет. Подскажите пожалуйста.",Срочное,Вызов врача
Здравствуйте! После операции нужна проверка швов через месяц. Подскажите пожалуйста.,Плановое,Наблюдение
Здравствуйте! Ребёнок идёт в первый класс — нужна медкомиссия. Мужу 68 лет.,Плановое,Запись на прием
Глаукома — плановый контроль внутриглазного давления. Бабушке 75. Как быть?,Плановое,Наблюдение
Влияет ли стресс на повышение давления? Как быть?,Консультационное,Консультация или вопрос
Срочно! Ребёнок аллергик — плановая консультация аллерголога весной.,Плановое,Наблюдение
Здравствуйте! Резкая потеря веса без причины — хочу записаться на обследование. Я беременна 28 недель.,Срочное,Запись на прием
После инфаркта — плановая кардиореабилитация через 3 месяца. Буду благодарен.,Плановое,Наблюдение
"Нужен осмотр гинеколога раз в год, давно не была.",Плановое,Запись на прием
Добрый день! Ребёнку нужна справка в бассейн от педиатра. Жене 45 лет.,Плановое,Запись на прием
"Помогите пожалуйста. Воспаление после удаления зуба — щека опухла, пульсирует.",Срочное,Вызов врача
"Помогите пожалуйста. Сильная аллергическая реакция — лицо опухло, дышать сложнее.",Экстренное,Вызов врача
Крапивница по всему телу после приёма нового лекарства. Мне 35 лет. Очень беспокоюсь.,Экстренное,Вызов врача
Срочно! Плановое удаление родинки — запись к дерматологу. Прошу помочь.,Плановое,Запись на прием
Здравствуйте! Остеопороз — плановая денситометрия раз в год.,Плановое,Наблюдение
Папа жалуется на боли в груди при ходьбе по лестнице. Бабушке 75.,Срочное,Вызов врача
"Добрый день! Огнестрельное ранение случайное на охоте, много крови теряет.",Экстренное,Перенаправление в экстренные службы
"Температура держится 38.5 уже 4 дня, антибиотики не помогают. Я беременна 28 недель.",Срочное,Вызов врача
Добрый день! Запись к наркологу для консультации о зависимости — для друга.,Консультационное,Запись на прием
Срочно! Хочу пройти флюорографию — куда обратиться?,Плановое,Запись на прием
"Нашли на УЗИ кисту, направили к хирургу — можете записать?",Срочное,Запись на прием
Здравствуйте! Плановое УЗИ органов брюшной полости — направление нужно?,Плановое,Запись на прием
"Добрый день! Резкое падение давления до 70/40, слабость, почти в обмороке.",Экстренное,Вызов врача
Нужна консультация психолога по вопросам тревожности.,Консультационное,Запись на прием
Ребёнок часто болеет ОРВИ — хотим к иммунологу.,Срочное,Запись на прием
Добрый день! Ребёнок аллергик — плановая консультация аллерголога весной.,Плановое,Наблюдение
Хронический гастрит — ежегодная ФГДС по плану. Нужна ваша помощь.,Плановое,Наблюдение
"Добрый вечер. Мама упала, не встаёт, не отвечает на вопросы, правая сторона не двигается. Очень беспокоюсь.",Экстренное,Перенаправление в экстренные службы
Помогите! После операции на колене — плановая реабилитационная консультация.,Плановое,Наблюдение
Мочусь с болью и кровью — нужен уролог как можно скорее.,Срочное,Запись на прием
"Привет! Сильная боль в горле, не могу глотать, температура 38.",Срочное,Вызов врача
Ребёнок на учёте у невролога — плановый осмотр раз в год. Нужна ваша помощь.,Плановое,Наблюдение
"Помогите пожалуйста. Острый приступ подагры — нога опухла, красная, жар невыносимый.",Экстренное,Вызов врача
Добрый день! Запись к наркологу для консультации о зависимости — для друга. Буду благодарен.,Консультационное,Запись на прием
Ребёнок с пороком сердца — плановая ЭКГ и осмотр кардиолога.,Плановое,Наблюдение
Нужен осмотр аллерголога весной перед сезоном. Что делать?,Плановое,Запись на прием
Здравствуйте! Диабет 2 типа — плановый контроль показателей каждые 3 месяца. Ребёнку 4 года.,Плановое,Наблюдение
"Помогите пожалуйста. Приступ эпилепсии прошёл, но пациент вялый и не в себе.",Срочное,Вызов врача
Папа жалуется на боли в груди при ходьбе по лестнице. Что делать?,Срочное,Вызов врача
Запись к сексологу на консультацию — деликатный вопрос. Очень беспокоюсь.,Консультационное,Запись на прием
"Рана на ноге краснеет и припухает, наверное инфицировалась. Я беременна 28 недель. Нужна ваша помощь.",Срочное,Вызов врача
"Плановая колоноскопия — мне 50, врач рекомендовал. Подскажите пожалуйста.",Плановое,Запись на прием
"Помогите! Резкое падение давления до 70/40, слабость, почти в обмороке. Ребёнку 4 года.",Экстренное,Вызов врача
"Привет! Ожог кипятком — большая площадь на спине ребёнка, кожа слезает.",Экстренное,Перенаправление в экстренные службы
Хочу пройти флюорографию — куда обратиться? Прошу помочь.,Плановое,Запись на прием
После кесарева сечения — плановый осмотр гинеколога через 2 месяца.,Плановое,Наблюдение
"Плановая колоноскопия — мне 50, врач рекомендовал. Что делать?",Плановое,Запись на прием
"Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу. Мне 52 года. Как быть?",Срочное,Запись на прием
Добрый вечер. Мочусь с болью и кровью — нужен уролог как можно скорее. Это опасно?,Срочное,Запись на прием
Мочусь с болью и кровью — нужен уролог как можно скорее.,Срочное,Запись на прием
"Бабушка 82 года упала, ушиб бедра, ходит с трудом. Нужна ваша помощь.",Срочное,Вызов врача
"Ребёнок кашляет с ночи, хрипы слышны, беспокойный сон. Нужна ваша помощь.",Срочное,Вызов врача
Ребёнок говорит что видит плохо — когда нужен окулист? Подскажите пожалуйста.,Консультационное,Консультация или вопрос
Привет! Запись к психиатру на первичную консультацию — не срочно. Бабушке 75.,Консультационное,Запись на прием
Справка для водительских прав — к какому врачу? Мужу 68 лет. Что посоветуете?,Плановое,Запись на прием
Глаукома — плановый контроль внутриглазного давления. Я беременна 28 недель. Что посоветуете?,Плановое,Наблюдение
Помогите пожалуйста. Хочу проверить давление и сдать анализы — запись к терапевту. Мне 35 лет.,Плановое,Запись на прием
"Сломал палец, деформация явная, посинение нарастает. Я беременна 28 недель. Что делать?",Экстренное,Вызов врача
"Помогите! Боль в животе справа ноющая уже сутки, усиливается. Буду благодарен.",Срочное,Вызов врача
"Аллергия на траву — глаза опухли, не могу смотреть на свет. Подскажите пожалуйста.",Срочное,Вызов врача
Помогите пожалуйста. Можно ли кормящей маме есть острое?,Консультационное,Консультация или вопрос
Привет! Ребёнок плохо слышит учителя в школе — нужен ЛОР.,Срочное,Запись на прием
Добрый день! Что делать при первых признаках простуды чтобы не разболеться? Мне 35 лет.,Консультационное,Консультация или вопрос
"Помогите! Сильная боль в горле, не могу глотать, температура 38. У меня диабет.",Срочное,Вызов врача
Добрый день! Хочу узнать какие прививки нужны перед поездкой в Азию. Это опасно?,Консультационное,Запись на прием
Можно ли смешивать разные мультивитамины?,Консультационное,Консультация или вопрос
"Резаная рана на руке, кровь не останавливается уже 20 минут, пульсирует.",Экстренное,Перенаправление в экстренные службы
"Срочно! Бабушка не может встать с постели, жалуется на боль в голове и тошноту.",Экстренное,Вызов врача
Помогите! Жена беременная 32 недели — боли внизу живота схваткообразные. Это опасно?,Срочное,Вызов врача
Аутоиммунный тиреоидит — контроль ТТГ и осмотр эндокринолога.,Плановое,Наблюдение
"Острый цистит — жжение нестерпимое, кровь в моче.",Срочное,Вызов врача
Помогите! Папа жалуется на боли в груди при ходьбе по лестнице. Жене 45 лет.,Срочное,Вызов врача
Хочу просто проконсультироваться у терапевта по результатам анализов. Подскажите пожалуйста.,Консультационное,Запись на прием
Нужна консультация генетика — в семье были случаи рака. Прошу помочь.,Консультационное,Запись на прием
Жена беременная 32 недели — боли внизу живота схваткообразные. Что посоветуете?,Срочное,Вызов врача
Ребёнок аллергик — плановая консультация аллерголога весной. Мужу 68 лет.,Плановое,Наблюдение
Астма — плановый визит к пульмонологу для коррекции терапии.,Плановое,Наблюдение
Хочу записаться к терапевту на следующей неделе для планового осмотра. Что посоветуете?,Плановое,Запись на прием
После операции неделю назад — шов разошёлся и гноится. Подскажите пожалуйста.,Экстренное,Вызов врача
"Добрый день! Диабетик — потерял контроль, сахар скачет, плохо соображает. Хронических болезней нет.",Экстренное,Вызов врача
Нашли повышенный сахар в аптеке — хочу к эндокринологу срочно. Что посоветуете?,Срочное,Запись на прием
"У меня кашель уже неделю, температура нормальная. Что делать? Очень беспокоюсь.",Консультационное,Консультация или вопрос
Здравствуйте! Нужна консультация генетика перед планированием ребёнка.,Плановое,Запись на прием
Здравствуйте! Обнаружила увеличенный лимфоузел в паху — к какому врачу?,Срочное,Запись на прием
Добрый вечер. Гепатит С в ремиссии — плановое наблюдение гепатолога. Подскажите пожалуйста.,Плановое,Наблюдение
Ребёнок идёт в первый класс — нужна медкомиссия.,Плановое,Запись на прием
Добрый день! Как долго можно принимать омепразол при изжоге? Буду благодарен.,Консультационное,Консультация или вопрос
"Добрый вечер. Повышенное давление 160/100 несколько дней, таблетки не помогают.",Срочное,Вызов врача
"У меня кашель уже неделю, температура нормальная. Что делать? Нужна ваша помощь.",Консультационное,Консультация или вопрос
Псориаз — плановый визит к дерматологу для оценки ремиссии. Буду благодарен.,Плановое,Наблюдение
Помогите пожалуйста. Хочу пройти профилактический чекап — с чего начать?,Плановое,Запись на прием
"Помогите! Рана на ноге краснеет и припухает, наверное инфицировалась.",Срочное,Вызов врача
Остеопороз — плановая денситометрия раз в год.,Плановое,Наблюдение
Ожог на ладони от горячей сковороды — пузырь большой.,Срочное,Вызов врача
Привет! Остеопороз — плановая денситометрия раз в год.,Плановое,Наблюдение
Сильное носовое кровотечение не останавливается 30 минут.,Экстренное,Вызов врача
"Ребёнок захлебнулся водой в бассейне, откачали но он вялый и дышит плохо. Нужна ваша помощь.",Экстренное,Перенаправление в экстренные службы
Срочно! Нужна консультация по результатам биопсии — что дальше? Нужна ваша помощь.,Консультационное,Запись на прием
"Добрый день! Мама упала, не встаёт, не отвечает на вопросы, правая сторона не двигается. Подскажите пожалуйста.",Экстренное,Перенаправление в экстренные службы
Плановое удаление родинки — запись к дерматологу. Ребёнку 4 года.,Плановое,Запись на прием
Осмотр у невролога раз в год по показаниям — запишите. Прошу помочь.,Плановое,Запись на прием
Привет! Плановый осмотр у эндокринолога — контроль щитовидки. Ребёнку 4 года.,Плановое,Запись на прием
Сколько раз в год нужно проверяться у гинеколога?,Консультационное,Консультация или вопрос
Консультация нефролога по результатам анализа мочи.,Консультационное,Запись на прием
"Сильная боль в горле, не могу глотать, температура 38. Мне 35 лет.",Срочное,Вызов врача
Хронический гастрит — ежегодная ФГДС по плану. Мне 52 года. Что посоветуете?,Плановое,Наблюдение
Помогите! Влияет ли стресс на повышение давления?,Консультационное,Консультация или вопрос
Осмотр у невролога раз в год по показаниям — запишите. Подскажите пожалуйста.,Плановое,Запись на прием
Добрый вечер. Ребёнок на учёте у невролога — плановый осмотр раз в год. У меня диабет.,Плановое,Наблюдение
"Добрый день! Нашла уплотнение в груди, хочу срочно попасть к маммологу. Буду благодарен.",Срочное,Запись на прием
Срочно! Можно ли заниматься спортом при варикозе? Как быть?,Консультационное,Консультация или вопрос
"Сильное кровотечение после родов, памперс намокает каждые 10 минут. Что делать?",Экстренное,Перенаправление в экстренные службы
Здравствуйте! Остеопороз — плановая денситометрия раз в год.,Плановое,Наблюдение
Помогите! Глаукома — плановый контроль внутриглазного давления. Я беременна 28 недель.,Плановое,Наблюдение
Жена беременная 32 недели — боли внизу живота схваткообразные.,Срочное,Вызов врача
Нужна консультация педиатра — ребёнок развивается нормально? Аллергии нет.,Консультационное,Запись на прием
Онкология в ремиссии — плановый контрольный визит онколога. У меня диабет.,Плановое,Наблюдение
"Ребёнок 3 года проглотил таблетки из аптечки, не знаю сколько. Что делать?! Бабушке 75. Что посоветуете?",Экстренное,Перенаправление в экстренные службы
"Кашель не проходит уже 3 недели, хочу провериться у терапевта. Что посоветуете?",Срочное,Запись на прием
Хочу поговорить с врачом о профилактике остеопороза. Мне 35 лет.,Консультационное,Запись на прием
Ребёнок аллергик — плановая консультация аллерголога весной. Буду благодарен.,Плановое,Наблюдение
Здравствуйте! Хочу обсудить с кардиологом результаты ЭКГ — ничего не понял.,Консультационное,Запись на прием
Добрый вечер. Глаукома — плановый контроль внутриглазного давления. Хронических болезней нет.,Плановое,Наблюдение
"Срочно! Резкая головная боль как удар по голове, самая сильная в жизни. Это опасно?",Экстренное,Вызов врача
Здравствуйте! Резко повысилось давление после стресса — кардиолог нужен. Это опасно?,Срочное,Запись на прием
Хочу обсудить с кардиологом результаты ЭКГ — ничего не понял.,Консультационное,Запись на прием
Помогите! Как понять что у ребёнка аллергия а не простуда?,Консультационное,Консультация или вопрос
Добрый день! Резко повысилось давление после стресса — кардиолог нужен.,Срочное,Запись на прием
"Ребёнку 1 год — нужна плановая вакцинация, когда прийти? Мужу 68 лет.",Плановое,Запись на прием
Запишите на консультацию по питанию ребёнка к педиатру.,Консультационное,Запись на прием
Помогите! Отравление — рвота после ужина в кафе у всей семьи. Буду благодарен.,Срочное,Вызов врача
Сильное жжение в желудке ночью — гастроэнтеролог нужен быстро. Что посоветуете?,Срочное,Запись на прием
"Анафилаксия после укуса осы, горло отекает, дышать тяжело.",Экстренное,Перенаправление в экстренные службы
Срочно! После инфаркта — плановая кардиореабилитация через 3 месяца. Мне 35 лет.,Плановое,Наблюдение
Обострение псориаза — хочу к дерматологу как можно скорее. Очень беспокоюсь.,Срочное,Запись на прием
Срочно! Как понять что у ребёнка аллергия а не простуда? Как быть?,Консультационное,Консультация или вопрос
"Боль в суставе колена острая после тренировки, опухло.",Срочное,Вызов врача
Помогите пожалуйста. Ребёнок говорит что видит плохо — когда нужен окулист? Аллергии нет.,Консультационное,Консультация или вопрос
Сахарный диабет — плановая консультация эндокринолога. Что делать?,Плановое,Наблюдение
"Зрение ухудшилось за последний месяц, запишите к офтальмологу. Хронических болезней нет. Буду благодарен.",Срочное,Запись на прием
"Добрый день! У меня сильная боль в груди слева уже час, нитроглицерин не помогает.",Экстренное,Вызов врача
"Аллергия на антибиотик — сыпь по всему телу, отёк, давление падает. Жене 45 лет.",Экстренное,Перенаправление в экстренные службы
"Острая глаукома — боль в глазу нестерпимая, тошнота, потеря зрения. Это опасно?",Экстренное,Перенаправление в экстренные службы
Здравствуйте! Что такое ТТГ и почему он важен для щитовидки?,Консультационное,Консультация или вопрос
Жена беременная 32 недели — боли внизу живота схваткообразные. Прошу помочь.,Срочное,Вызов врача
Добрый день! Почечная недостаточность — плановая нефрологическая консультация. Хронических болезней нет.,Плановое,Наблюдение
"Помогите! Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу.",Срочное,Запись на прием
Помогите пожалуйста. Контрольный анализ крови после курса лечения антибиотиками.,Плановое,Наблюдение
"Добрый день! Пожилой отец говорит что ему очень плохо, бледный, холодный пот.",Экстренное,Вызов врача
"Боль в животе справа ноющая уже сутки, усиливается. Что делать?",Срочное,Вызов врача
Срочно! Контрольный анализ крови после курса лечения антибиотиками. Что посоветуете?,Плановое,Наблюдение
Жена беременная 32 недели — боли внизу живота схваткообразные.,Срочное,Вызов врача
Осмотр у невролога раз в год по показаниям — запишите. Аллергии нет. Очень беспокоюсь.,Плановое,Запись на прием
После операции нужна проверка швов через месяц. Что делать?,Плановое,Наблюдение
Здравствуйте! Аутоиммунный тиреоидит — контроль ТТГ и осмотр эндокринолога. Мужу 68 лет.,Плановое,Наблюдение
Помогите! Папа жалуется на боли в груди при ходьбе по лестнице. Мне 35 лет.,Срочное,Вызов врача
"Острая глаукома — боль в глазу нестерпимая, тошнота, потеря зрения.",Экстренное,Перенаправление в экстренные службы
Запишите на консультацию по питанию ребёнка к педиатру. Прошу помочь.,Консультационное,Запись на прием
Беременность 20 недель — плановое УЗИ скрининг. Буду благодарен.,Плановое,Наблюдение
Помогите пожалуйста. Справка для занятий спортом ребёнку от педиатра.,Плановое,Запись на прием
"Срочно! Боль в животе справа ноющая уже сутки, усиливается. Подскажите пожалуйста.",Срочное,Вызов врача
После кесарева сечения — плановый осмотр гинеколога через 2 месяца. Мужу 68 лет.,Плановое,Наблюдение
Глаукома — плановый контроль внутриглазного давления.,Плановое,Наблюдение
"Добрый день! Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу. Аллергии нет.",Срочное,Запись на прием
Добрый день! У мамы давление нестабильное — запишите к кардиологу.,Срочное,Запись на прием
"Ребёнок порезал ладонь глубоко, наложили повязку, кровит.",Срочное,Вызов врача
"Здравствуйте! Запись к ревматологу — боли в суставах давние, плановая. Очень беспокоюсь.",Плановое,Запись на прием
Добрый день! Ребёнок плохо слышит учителя в школе — нужен ЛОР.,Срочное,Запись на прием
Срочно! Аутоиммунный тиреоидит — контроль ТТГ и осмотр эндокринолога. Что посоветуете?,Плановое,Наблюдение
Срочно! Нужна консультация по ЗГТ при климаксе — к какому врачу? Это опасно?,Консультационное,Запись на прием
"Резкая головная боль как удар по голове, самая сильная в жизни. Буду благодарен.",Экстренное,Вызов врача
Сильное жжение в желудке ночью — гастроэнтеролог нужен быстро.,Срочное,Запись на прием
Ребёнок плохо слышит учителя в школе — нужен ЛОР.,Срочное,Запись на прием
Сильное носовое кровотечение не останавливается 30 минут. Жене 45 лет. Прошу помочь.,Экстренное,Вызов врача
"Ребёнок не ест 2 дня, вялый, температура 37.8, понос. Нужна ваша помощь.",Срочное,Вызов врача
"Мне 40 лет, хочу пройти полное обследование профилактически. Подскажите пожалуйста.",Плановое,Запись на прием
Помогите пожалуйста. Резко повысилось давление после стресса — кардиолог нужен.,Срочное,Запись на прием
Срочно! Выпадение волос сильное — записаться к трихологу или эндокринологу?,Срочное,Запись на прием
Здравствуйте! Жена беременная 32 недели — боли внизу живота схваткообразные. Очень беспокоюсь.,Срочное,Вызов врача
Добрый день! Мне прислали результаты МРТ — хочу разобраться что значит.,Консультационное,Запись на прием
"Добрый вечер. Аллергия на траву — глаза опухли, не могу смотреть на свет. Прошу помочь.",Срочное,Вызов врача
Как избежать растяжек при беременности? Это опасно?,Консультационное,Консультация или вопрос
"Нашла уплотнение в груди, хочу срочно попасть к маммологу. У меня диабет. Подскажите пожалуйста.",Срочное,Запись на прием
Папа жалуется на боли в груди при ходьбе по лестнице. Мужу 68 лет. Нужна ваша помощь.,Срочное,Вызов врача
"У меня кашель уже неделю, температура нормальная. Что делать? Мужу 68 лет.",Консультационное,Консультация или вопрос
Можно ли пить алкоголь во время приёма антибиотиков?,Консультационное,Консультация или вопрос
Внезапная потеря сознания в магазине без видимых причин. Прошу помочь.,Экстренное,Перенаправление в экстренные службы
"Помогите пожалуйста. Ребёнок съел ягоды с куста не знаю какие, рвёт, испуган.",Экстренное,Вызов врача
Гепатит С в ремиссии — плановое наблюдение гепатолога. Буду благодарен.,Плановое,Наблюдение
"Добрый день! Гипертонический криз — давление 200/110, болит голова, тошнит. Прошу помочь.",Экстренное,Вызов врача
"Ребёнок засунул монету в нос, не дышит нормально, синеет. Это опасно?",Экстренное,Перенаправление в экстренные службы
Добрый день! Боль в правом подреберье после жирного — нужно УЗИ и гастроэнтеролог.,Срочное,Запись на прием
"Сильная боль в горле, не могу глотать, температура 38. Прошу помочь.",Срочное,Вызов врача
"Ребёнок 1 год горит — 40.5, вялый, не реагирует нормально. У меня диабет. Подскажите пожалуйста.",Экстренное,Вызов врача
Можно записаться к диетологу чтобы обсудить питание при диабете? У меня диабет.,Консультационное,Запись на прием
Планирую беременность — хочу пройти обследование заранее.,Плановое,Запись на прием
Как правильно измерять давление? У меня всегда разные показатели. Что посоветуете?,Консультационное,Консультация или вопрос
Какие анализы нужно сдать при планировании беременности?,Консультационное,Консультация или вопрос
"Добрый день! Запись к ревматологу — боли в суставах давние, плановая. Прошу помочь.",Плановое,Запись на прием
Привет! Хочу поговорить с врачом о профилактике остеопороза. Что посоветуете?,Консультационное,Запись на прием
Обнаружила увеличенный лимфоузел в паху — к какому врачу?,Срочное,Запись на прием
Привет! Хроническая мигрень — плановая корректировка лечения у невролога. Мне 52 года.,Плановое,Наблюдение
Добрый день! Хочу получить второе мнение по поставленному диагнозу. Это опасно?,Консультационное,Запись на прием
"Острая глаукома — боль в глазу нестерпимая, тошнота, потеря зрения. Подскажите пожалуйста.",Экстренное,Перенаправление в экстренные службы
Ребёнок идёт в первый класс — нужна медкомиссия. Мужу 68 лет. Что делать?,Плановое,Запись на прием
Нужен осмотр аллерголога весной перед сезоном.,Плановое,Запись на прием
Какая норма давления для мужчины 50 лет? Мужу 68 лет. Нужна ваша помощь.,Консультационное,Консультация или вопрос
